title,year,movie_url,audience_score,critics_score,synopsis,Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Aspect Ratio,Director Name,Sound Mix,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters),Creator
Blended,2014,https://www.rottentomatoes.com/m/blended,64,15,"Recently divorced mom Lauren (Drew Barrymore) and widowed dad Jim (Adam Sandler) let their friends push them into a blind date, which goes disastrously wrong. Unsurprisingly, neither wants to see the other ever again. However, fate intervenes when both Jim and Lauren, unbeknown to each other, purchase one-half of the same vacation package at a South African resort; they and their children are forced to share the same suite and participate in a slew of family activities together.",Frank Coraci,"Mike Karz, Adam Sandler, Jack Giarraputo","Ivan Menchell, Clare Sera",Warner Bros. Pictures,"Gulfstream Pictures, Happy Madison Productions",PG-13 (Language|Crude and Sexual Content),"Romance, Comedy",English,"May 23, 2014, Wide","Jan 20, 2016",1h 57m,,Frank Coraci,"Datasat, Dolby Digital",$46.3M,,,
Here Comes the Boom,2012,https://www.rottentomatoes.com/m/here_comes_the_boom,65,41,"Once a collegiate wrestler, Scott Voss (Kevin James) is now a 42-year-old, apathetic biology teacher in a failing high school. When cutbacks threaten the school's music program and its teacher (Henry Winkler), Scott springs into action. He dusts off his long-unused wrestling skills and earns money for the program by moonlighting as a mixed martial arts fighter. Though the school nurse (Salma Hayek) thinks he's crazy, Scott gains something he never expected, and the school rallies behind him.",Frank Coraci,"Todd Garner, Kevin James","Allan Loeb, Kevin James",Sony Pictures,"Columbia Pictures, Hey Eddie, Happy Madison Productions, Broken Road",PG (Language|Bouts of MMA Sports Violence|Some Rude Humor),"Comedy, Action",English,"Oct 12, 2012, Wide","Sep 7, 2014",1h 44m,,Frank Coraci,"Dolby Digital, Datasat, SDDS",$45.3M,,,
Zookeeper,2011,https://www.rottentomatoes.com/m/zookeeper,41,14,"Kindhearted Griffin Keyes (Kevin James) is one of the best-loved caretakers at the Franklin Park Zoo, but since he is more comfortable with the animals than with females of his own species, his love life is lacking. When Griffin decides that the only way to get a girlfriend is to find a more-glamorous career, the animals panic. To keep him from leaving, they reveal their secret ability to talk and offer to teach him the rules of courtship, animal style.",Frank Coraci,"Todd Garner, Kevin James, Adam Sandler, Jack Giarraputo, Walt Becker","Nick Bakay, Rock Reuben, Kevin James, Jay Scherick, David Ronn",Sony Pictures Entertainment,"Broken Road, Happy Madison Productions, Hey Eddie",PG (Some Rude/Suggestive Humor|Language),"Comedy, Fantasy",English,"Jul 8, 2011, Wide","Dec 8, 2011",1h 41m,,Frank Coraci,"SDDS, Dolby Digital, DTS",$80.4M,,,
Click,2006,https://www.rottentomatoes.com/m/click,66,34,"Michael Newman seems to have it all but his wife, Donna, is increasingly frustrated by the amount of time he has to spend at work. Michael cannot find time to be at home until he meets an eccentric inventor who gives him a universal remote that controls time. At first he happily skips the boring times until he realizes the remote is in control of his life and he learns to cherish all the precious moments with his family.",Frank Coraci,"Adam Sandler, Jack Giarraputo, Neal H. Moritz, Steve Koren","Steve Koren, Mark O' Keefe",Sony Pictures Entertainment,"Columbia Pictures Film Production Asia, Revolution Studios",PG-13 (Language|Crude and Sex-Related Humor|Some Drug References),"Comedy, Fantasy",English,"Jun 23, 2006, Wide","Apr 1, 2009",1h 48m,Flat (1.85:1),Frank Coraci,"Dolby SRD, DTS, SDDS",$137.3M,,,
Grandma's Boy,2006,https://www.rottentomatoes.com/m/grandmas_boy,85,15,"When he and his roommate can't pay their rent, video game creator Alex (Allen Covert) finds himself homeless and moves in with Lilly (Doris Roberts), his wacky grandmother. Lilly and her elderly pals like to hang out in front of the television all day, but their constant presence puts a damper on Alex's social life and pot smoking. Alex wants to court co-worker Samantha (Linda Cardellini), but he's preoccupied by a rivalry with another game designer, so the would-be relationship is in limbo.",Nicholaus Goossen,"Allen Covert, Jack Giarraputo, Adam Sandler","Barry Wernick, Allen Covert, Nick Swardson",,"Twentieth Century Fox, Happy Madison Productions, Level 1 Entertainment",R (Nudity|Drug Use|Strong Crude and Sexual Humor|Strong Language),Comedy,English,,"Oct 28, 2015",1h 34m,Scope (2.35:1),Frank Coraci,"SDDS, DTS",$6.1M,,,
Around the World in 80 Days,2004,https://www.rottentomatoes.com/m/around_the_world_in_80_days,34,32,"Phileas Fogg (Steve Coogan) is an inventor living in Victorian England. He believes he can travel around the world in 80 days. Another inventor (Jim Broadbent) challenges him to make the trip, and Phileas agrees. Accompanying Phileas on his journey are his loyal manservant, Passepartout (Jackie Chan), and Monique (Cécile de France), a beautiful navigator. Utilizing a variety of transportation means and Passepartout's martial arts skills, the trio embarks on a globe-spanning adventure.",Frank Coraci,Bill Badalato,"David Andrew Goldstein, David Benullo, David N. Titcher",Buena Vista Pictures,"Walt Disney Pictures, Spanknyce Films, Walden Media",PG (Mild Language|Action/Violence|Some Crude Humor),"Adventure, Comedy",English,"Jun 16, 2004, Wide","Jun 10, 2016",1h 59m,Scope (2.35:1),Frank Coraci,"Surround, Dolby SRD, DTS, SDDS",$24.0M,,,
Last Man Running,2003,https://www.rottentomatoes.com/m/last_man_running,NA,NA,"Richie, a struggling actor, decides to fulfill his lifelong dream of competing in a demolition derby, at the possible risk of his life and his engagement.",Damon Santostefano,"Bob Fagan, Joseph Levy, Mary Stuart Masterson, Rudolph Callegari","Damon Santostefano, Rick Gomez",,,,Comedy,English,,,1h 29m,,Frank Coraci,,,"Aug 30, 2007",,
The Waterboy,1998,https://www.rottentomatoes.com/m/waterboy,71,34,"Raised by his overprotective mother, Helen (Kathy Bates), Bobby Boucher Jr. (Adam Sandler) is the water boy for a successful college football team coached by Red Beaulieu (Jerry Reed). When Beaulieu fires Bobby, he takes up the same position for a losing rival team, led by despairing Coach Klein (Henry Winkler). After witnessing Bobby beat up a player who teased him too much, Klein adds him to the roster as a linebacker. Soon, Klein's players are championship contenders.",Frank Coraci,"Jack Giarraputo, Robert Simonds","Tim Herlihy, Allen Pasqua, Adam Sandler",Buena Vista Pictures,"Touchstone Pictures, Waterboy Productions",PG-13,Comedy,English,"Nov 6, 1998, Wide","Feb 8, 2016",1h 28m,,Frank Coraci,"Surround, Dolby Digital, DTS",$161.5M,,,
The Wedding Singer,1998,https://www.rottentomatoes.com/m/wedding_singer,80,72,"Set in 1985, Adam Sandler plays a nice guy with a broken heart who's stuck in one of the most romantic jobs in the world, a wedding singer. He loses all hope when he is abandoned at the altar by his fiancé. He meets a young woman named Julia, who enlists his help to plan her wedding. He falls in love with her and must win her over before she gets married.",Frank Coraci,"Jack Giarraputo, Robert Simonds",Tim Herlihy,New Line Cinema,"New Line Cinema, Juno Pix",PG-13 (Sex-Related Material|Language),"Romance, Comedy",English,"Feb 13, 1998, Wide","Sep 1, 2008",1h 36m,Flat (1.85:1),Frank Coraci,"Dolby SR, DTS, SDDS, Surround, Dolby A, Dolby Digital",$80.2M,,,
Murdered Innocence,1996,https://www.rottentomatoes.com/m/murdered_innocence,NA,NA,"When a recently released murder convict seeks revenge, a Long Island police detective (Jason Miller) must face past demons.",Frank Coraci,"Fred Carpenter, Phyllis Alia",,,,R,Mystery & Thriller,English,,,1h 28m,,Frank Coraci,Surround,,,,
Armor,2024,https://www.rottentomatoes.com/m/armor,NA,NA,"Academy Award Nominee Sylvester Stallone and Jason Patric star in an action-packed thriller about the lengths one man will go to save what's left of his family and reclaim his own life. James and his son Casey are armored truck drivers tasked with delivering a suspicious package. After a violent ambush on the road, James and Casey are trapped until they discover the value of what they have been carrying and join forces to outgun and outwit their attackers.",Justin Routt,"Joel Cohen, Randall Emmett, Gwen Osborne","Adrian Speckert, Cory Todd Hughes",Lionsgate,"BondIt Media Capital, Convergence Entertainment Group",R (Violence and Language),"Action, Mystery & Thriller",English,"Nov 22, 2024, Limited","Nov 22, 2024",1h 29m,Scope (2.35:1),Travis Zariwny,,,,,
Cash Out,2024,https://www.rottentomatoes.com/m/cash_out,32,20,"In this tense thriller, John Travolta is Mason, leader of a high-end crew of thieves that hang it up for good after a double-cross spells a near miss with the law. But when he's thrust into his younger brother Shawn's hare-brained scheme to rob a bank -- and tempted by what could be his biggest score ever -- Mason jumps right back into his old ways. Then the heist goes awry, and the thieves are trapped inside the bank with hostages while surrounded by SWAT teams, the FBI, and Interpol. Included among the authorities waiting to nab the crew is someone Mason knows well: lead negotiator Decker (Kristin Davis) -- Mason's former lover.",IVES,"Cecil Chambers, Joel Cohen","Dipo Oseni, Doug Richardson",Saban Films,"Convergence Entertainment, BondIt Media Capital, Buffalo 8 Productions",R (Language),"Action, Mystery & Thriller",English,"Apr 26, 2024, Limited","Apr 26, 2024",1h 32m,Digital 2.39:1,Travis Zariwny,,,,,
Robots,2023,https://www.rottentomatoes.com/m/robots_2023,39,18,Charles is a womanizer while Elaine is a gold-digger. The duo learn humanity when forced to team up and pursue robot doubles of themselves.,"Casper Christensen, Anthony Hines","Cassian Elwes, Julien Favre, Stephen Hamel, Lars Sylvest, Sascha Krnajac, Thorsten Schumacher, Bernd Wintersperger","Casper Christensen, Anthony Hines",NEON,Company Films,R (Sexual Content|Pervasive Language),"Comedy, Sci-Fi, Romance",English,"May 19, 2023, Limited","May 19, 2023",1h 33m,,Travis Zariwny,,,,,
Supercell,2022,https://www.rottentomatoes.com/m/supercell,75,47,"Baseball-size hail, violent winds, and churning tornadoes make supercells deadly, and when William Brody was a boy, his father -- a legendary storm-chaser -- was killed by one. Now, the family business belongs to Zane Rogers (Alec Baldwin), a reckless tour operator who sees dollar signs where others see storm clouds. When his destiny arrives in the form of one of the most powerful storms on record, William leaves his mom (Anne Heche) and home behind to team up with his father's ex-partner, Roy Cameron (Skeet Ulrich), barely surviving a tornado yet determined to chase one of nature's most terrifying creations: the bear's cage.",Herbert James Winterstern,"Nathan Klingher, Ryan Donnell Smith, Ryan Winterstern","Herbert James Winterstern, Anna Elizabeth James",Saban Films,"Volition Media Partners, Short Porch Pictures, Thomasville Pictures, Buffalo 8 Productions, Bay Point Media, Streamline Global Group",PG-13 (Some Peril|Smoking|Language),"Adventure, Mystery & Thriller",English,"Mar 17, 2023, Limited","Mar 17, 2023",1h 40m,,Travis Zariwny,,,,,
Hot Seat,2022,https://www.rottentomatoes.com/m/hot_seat,15,11,"Oscar-winner Mel Gibson brings this explosive cyber-thriller to life. The action begins as IT expert Friar (Kevin Dillon, Poseidon) finds a hair-trigger bomb strapped to his desk chair. An unseen hacker orders him to steal digital funds online--or have his daughter abducted. As a fearless bomb expert (Gibson) arrives on the scene, the hacker frames Friar as the bomber. The tension mounts as Friar races to clear his name and expose the real terrorist--without getting himself blown to smithereens.",James Cullen Bressack,"Alastair Burlingham, Randall Emmett, George Furla, Gary Raskin, Ceasar Richbow, Mark Stewart, Chad A. Verdi, James Cullen Bressack",,Lionsgate,"Grindstone Studios, BondIt Media Capital, Emmett/Furla/Oasis Films, Buffalo 8 Productions, Verdi Productions",R (Some Violence|Language Throughout),"Action, Mystery & Thriller",English,"Jul 1, 2022, Limited","Jul 1, 2022",1h 44m,,Travis Zariwny,,,,,
Aftermath,2021,https://www.rottentomatoes.com/m/aftermath_2021,61,NA,"Soon after moving into a dream house, a young couple falls prey to strange and disturbing occurrences, and eventually learn that the house has a more troubling history than either of them expected.",Peter Winther,"James Andrew Felts, Rick Sasner, Lars P. Winther, Peter Winther","Dakota Gorman, Peter Winther",,"Productivity Media, Winther Brothers Entertainment, RiverRun Entertainment",,"Horror, Mystery & Thriller",English,,"Aug 4, 2021",1h 54m,Scope (2.35:1),Travis Zariwny,,,,,
Con Man,2018,https://www.rottentomatoes.com/m/con_man,33,NA,"Barry Minkow, a young and charismatic business man, becomes a wealthy CEO by lying, cheating and stealing his way to the top.",Bruce McAlester,Bret Saxon,"Bruce McAlester, Jonathan Meyers",,Insomnia Media Group,,Drama,English,,"Mar 6, 2018",1h 40m,,Travis Zariwny,,,,,
The Midnight Man,2016,https://www.rottentomatoes.com/m/the_midnight_man_2018,33,27,"A girl plays a game with her friends and summons the creature known as the Midnight Man, who uses their worst fears against them.",Travis Zariwny,"Cassian Elwes, Frankie Lindquist, Kirk Shaw",Travis Zariwny,IFC Midnight,"Buffalo Gal Pictures, IFC Films",,"Horror, Mystery & Thriller",English,"Jan 19, 2018, Limited","Jan 20, 2018",1h 33m,,Travis Zariwny,,,,,
Intruder,2016,https://www.rottentomatoes.com/m/intruder_2016,24,21,A young cellist seeking solitude and comfort in her apartment during a large storm realizes she is not alone.,Travis Zariwny,"Michael D. Jones, Louise Linton, Tina Sutakanat",Travis Zariwny,IFC Films,Stormchaser Films,,"Horror, Mystery & Thriller",English,"Jun 24, 2016, Limited","Mar 17, 2017",1h 35m,,Travis Zariwny,,,,,
Cabin Fever,2016,https://www.rottentomatoes.com/m/cabin_fever_2016,12,0,"Fresh out of college, five friends (Nadine Crocker, Matthew Daddario, Samuel Davis) face the horrors of a flesh-eating virus while staying at a remote cabin.",Travis Zariwny,"Evan Astrowsky, Christopher Lemole, Tim Zajaros","Eli Roth, Randy Pearlstein",IFC Films,"Pelican Point Media, Dragonfly Entertainment, Armory Films, Contend, Elevated",R (Language|Horror Violence and Gore|Nudity|Sexuality|Some Drug Use),Horror,English,"Feb 12, 2016, Limited","Oct 1, 2016",1h 39m,,Travis Zariwny,,,,,
Dancer and the Dame,2015,https://www.rottentomatoes.com/m/dancer_and_the_dame,53,NA,"Princess, a fussy police dog, helps Dancer (Billy Gardell), an old and disgruntled detective, search for a criminal.",Gabriel Sabloff,"David A.R. White, Russell Wolfe, Anna Zielinski, Michael Scott, Matt Shapira",Tommy Blaze,,,,Comedy,English,,"Nov 30, 2016",1h 28m,,Travis Zariwny,,,,,
Digging Up the Marrow,2014,https://www.rottentomatoes.com/m/digging_up_the_marrow,43,58,A filmmaker (Adam Green) sets out on a bone-chilling odyssey after meeting a man (Ray Wise) who says that he can produce hard evidence that monsters are real.,Adam Green,Cory Neal,Adam Green,"Image, RLJ Entertainment",ArieScope Pictures,,"Horror, Mystery & Thriller",English,"Feb 20, 2015, Limited","Jun 20, 2016",1h 28m,,Travis Zariwny,,,,,
Authors Anonymous,2014,https://www.rottentomatoes.com/m/authors_anonymous,16,8,"Members of a writers' group are shocked when Hannah (Kaley Cuoco), their newest author, finds overnight success.",Ellie Kanner,"Ellie Kanner, Cassidy Lunnen, Hal Schwartz",David Congalton,Screen Media Films,"Forever Sunny Productions, Bull Market Entertainment, Lainie Productions, EKZ Productions",PG-13 (Some Suggestive Material),Comedy,English,"Apr 18, 2014, Limited","Jun 18, 2015",1h 35m,,Travis Zariwny,,,,,
